"Installed renewable electricity capacity (MW) by Region/country/area, Technology and Year"

"Region/country/area","Technology","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Austria","Solar",5.0000,7.0000,9.0000,23.0000,27.0000,21.0180,22.3870,24.2380,30.1200,48.9150,88.8130,174.0700,337.4830,625.9740,785.2460,937.0980,1096.0160,1268.9710,1455.1320,1702.0930,2042.9340,2691.9340
"Austria","Solar photovoltaic",5.0000,7.0000,9.0000,23.0000,27.0000,21.0180,22.3870,24.2380,30.1200,48.9150,88.8130,174.0700,337.4830,625.9740,785.2460,937.0980,1096.0160,1268.9710,1455.1320,1702.0930,2042.9340,2691.9340
"Austria","Concentrated solar power",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Austria","Bioenergy",810.0000,799.0000,792.0000,987.0000,994.0000,1596.3870,1826.7840,2080.9200,2105.9430,2178.8720,2176.3090,2249.4550,1671.5560,1507.3240,1410.6020,1396.3390,1392.7880,1289.7740,1270.5930,1249.3090,1251.2590,1251.2590
"Austria","Solid biofuels",786.0000,772.0000,772.0000,948.0000,948.0000,1328.1650,1550.2380,1764.1630,1765.4740,1797.5170,1831.5290,1869.9150,1393.1060,1306.9280,1220.7040,1201.5410,1187.5150,1108.4910,1093.8730,1085.0480,1086.2190,1086.2190
"Austria","Bagasse",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Austria","Renewable municipal waste",6.0000,6.0000,6.0000,182.0000,182.0000,209.8550,215.4530,215.3130,222.9840,243.6910,242.8950,241.9450,287.6450,289.5760,261.8200,262.9200,270.8200,270.7200,269.6200,271.6200,270.0200,270.0200
"Austria","Other solid biofuels",780.0000,766.0000,766.0000,766.0000,766.0000,1118.3100,1334.7850,1548.8500,1542.4900,1553.8260,1588.6340,1627.9700,1105.4610,1017.3520,958.8840,938.6210,916.6950,837.7710,824.2530,813.4280,816.1990,816.1990
"Austria","Liquid biofuels",0.0000,0.0000,2.0000,10.0000,17.0000,50.4400,54.3770,27.4050,55.8100,45.8730,14.5100,7.3420,5.5130,6.3590,1.0250,3.3850,2.9690,1.2040,1.3240,0.5210,0.4610,0.4610
"Austria","Biogas",24.0000,27.0000,18.0000,29.0000,29.0000,217.7820,222.1690,289.3520,284.6590,335.4820,330.2700,372.1980,272.9370,194.0370,188.8730,191.4130,202.3040,180.0790,175.3960,163.7400,164.5790,164.5790
