"Renewable Electricity generation (GWh) by Region/country/area, Technology and Year"

"Region/country/area","Technology","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Algeria","Solid biofuels",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Algeria","Bagasse",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Algeria","Renewable municipal waste",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Algeria","Other solid biofuels",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Algeria","Liquid biofuels",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Algeria","Biogas",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Algeria","Geothermal",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Angola","Total renewable energy",900.29,1010.32,1130.52,1230.93,1730.93,2201.17,2541.39,2883.99,3188.94,3343.13,3695.67,4053.88,3853.47,3653.89,5092.91,5100.20,6459.40,9062.44,11541.19,12780.57,14019.94
"Angola","Hydropower",900.29,1010.27,1130.25,1230.58,1730.34,2200.30,2540.27,2880.21,3182.13,3335.60,3685.59,4042.92,3839.83,3638.56,5039.93,5039.93,6286.13,8844.17,11322.92,12562.30,13801.67
"Angola","Renewable hydropower",900.29,1010.27,1130.25,1230.58,1730.34,2200.30,2540.27,2880.21,3182.13,3335.60,3685.59,4042.92,3839.83,3638.56,5039.93,5039.93,6286.13,8844.17,11322.92,12562.30,13801.67
"Angola","Pumped storage",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Angola","Marine",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Angola","Wind",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Angola","Onshore wind energy",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Angola","Offshore wind energy",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Angola","Solar",0.00,0.05,0.27,0.35,0.59,0.87,1.13,3.78,6.81,7.53,10.08,10.96,13.64,15.34,16.99,18.27,18.27,18.27,18.27,18.27,18.27
"Angola","Solar photovoltaic",0.00,0.05,0.27,0.35,0.59,0.87,1.13,3.78,6.81,7.53,10.08,10.96,13.64,15.34,16.99,18.27,18.27,18.27,18.27,18.27,18.27
"Angola","Concentrated solar power",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Angola","Bioenergy",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,42.00,155.00,200.00,200.00,200.00,200.00
"Angola","Solid biofuels",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,42.00,155.00,200.00,200.00,200.00,200.00
"Angola","Bagasse",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,42.00,155.00,200.00,200.00,200.00,200.00
"Angola","Renewable municipal waste",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Angola","Other solid biofuels",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Angola","Liquid biofuels",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Angola","Biogas",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Angola","Geothermal",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Benin","Total renewable energy",1.63,1.57,1.52,1.69,1.49,0.75,0.00,0.00,0.36,0.24,0.00,0.00,0.35,0.00,0.50,6.46,5.34,5.41,5.41,5.41,5.41
"Benin","Hydropower",1.63,1.57,1.52,1.69,1.49,0.75,0.00,0.00,0.36,0.24,0.00,0.00,0.35,0.00,0.00,1.13,0.00,0.07,0.07,0.07,0.07
"Benin","Renewable hydropower",1.63,1.57,1.52,1.69,1.49,0.75,0.00,0.00,0.36,0.24,0.00,0.00,0.35,0.00,0.00,1.13,0.00,0.07,0.07,0.07,0.07
"Benin","Pumped storage",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Benin","Marine",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Benin","Wind",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Benin","Onshore wind energy",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Benin","Offshore wind energy",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Benin","Solar",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,5.34,5.34,5.34,5.34,5.34,5.34
"Benin","Solar photovoltaic",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,5.34,5.34,5.34,5.34,5.34,5.34
"Benin","Concentrated solar power",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Benin","Bioenergy",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Benin","Solid biofuels",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Benin","Bagasse",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Benin","Renewable municipal waste",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Benin","Other solid biofuels",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Benin","Liquid biofuels",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Benin","Biogas",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Benin","Geothermal",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Botswana","Total renewable energy",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.29,1.09,2.38,2.89,3.33,5.24,5.45,5.97,5.92,5.98
"Botswana","Hydropower",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Botswana","Renewable hydropower",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Botswana","Pumped storage",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Botswana","Marine",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Botswana","Wind",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Botswana","Onshore wind energy",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Botswana","Offshore wind energy",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
